ip,time,method,url,protocol,status
10.128.2.1,2017-11-29 06:58:55.025000,GET,/login.php,HTTP/1.1,200
10.128.2.1,2017-11-29 06:59:02.025000,POST,/process.php,HTTP/1.1,302
10.128.2.1,2017-11-29 06:59:03.025000,GET,/home.php,HTTP/1.1,200
10.131.2.1,2017-11-29 06:59:04.025000,GET,/js/vendor/moment.min.js,HTTP/1.1,200
10.130.2.1,2017-11-29 06:59:06.025000,GET,/bootstrap-3.3.7/js/bootstrap.js,HTTP/1.1,200
10.130.2.1,2017-11-29 06:59:19.025000,GET,/profile.php?user=bala,HTTP/1.1,200
10.128.2.1,2017-11-29 06:59:19.050000,GET,/js/jquery.min.js,HTTP/1.1,200
10.131.2.1,2017-11-29 06:59:19.075000,GET,/js/chart.min.js,HTTP/1.1,200
10.131.2.1,2017-11-29 06:59:30.025000,GET,/edit.php?name=bala,HTTP/1.1,200
10.131.2.1,2017-11-29 06:59:37.025000,GET,/logout.php,HTTP/1.1,302
10.131.2.1,2017-11-29 06:59:37.050000,GET,/login.php,HTTP/1.1,200
10.130.2.1,2017-11-29 07:00:19.025000,GET,/login.php,HTTP/1.1,200
10.130.2.1,2017-11-29 07:00:21.025000,GET,/login.php,HTTP/1.1,200
10.130.2.1,2017-11-29 13:31:27.025000,GET,/,HTTP/1.1,302
10.130.2.1,2017-11-29 13:31:28.025000,GET,/login.php,HTTP/1.1,200
10.129.2.1,2017-11-29 13:38:03.025000,POST,/process.php,HTTP/1.1,302
10.131.0.1,2017-11-29 13:38:04.025000,GET,/home.php,HTTP/1.1,200
10.131.0.1,2017-11-29 13:38:07.025000,GET,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,HTTP/1.1,200
10.130.2.1,2017-11-29 13:38:19.025000,GET,/,HTTP/1.1,302
10.131.2.1,2017-11-29 13:38:20.025000,GET,/login.php,HTTP/1.1,200
10.131.2.1,2017-11-29 13:38:20.050000,GET,/css/bootstrap.min.css,HTTP/1.1,200
10.128.2.1,2017-11-29 13:38:20.075000,GET,/css/font-awesome.min.css,HTTP/1.1,200
10.131.0.1,2017-11-29 13:38:20.100000,GET,/css/normalize.css,HTTP/1.1,200
10.128.2.1,2017-11-29 13:38:20.125000,GET,/css/style.css,HTTP/1.1,200
10.131.0.1,2017-11-29 13:38:20.150000,GET,/js/vendor/modernizr-2.8.3.min.js,HTTP/1.1,200
10.129.2.1,2017-11-29 13:38:20.175000,GET,/css/main.css,HTTP/1.1,200
10.131.0.1,2017-11-29 13:38:21.025000,GET,/js/vendor/jquery-1.12.0.min.js,HTTP/1.1,200
10.128.2.1,2017-11-29 13:38:21.050000,GET,/bootstrap-3.3.7/js/bootstrap.min.js,HTTP/1.1,200
10.131.2.1,2017-11-29 13:38:23.025000,GET,/fonts/fontawesome-webfont.woff2?v=4.6.3,HTTP/1.1,200
10.131.2.1,2017-11-29 13:46:46.025000,GET,/,HTTP/1.1,200
10.131.2.1,2017-11-29 13:46:50.025000,GET,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,HTTP/1.1,200
10.131.2.1,2017-11-29 13:46:53.025000,GET,/logout.php,HTTP/1.1,302
10.131.2.1,2017-11-29 13:46:54.025000,GET,/login.php,HTTP/1.1,200
10.131.2.1,2017-11-29 13:47:04.025000,POST,/process.php,HTTP/1.1,302
10.131.2.1,2017-11-29 13:47:05.025000,GET,/login.php?value=fail,HTTP/1.1,200
10.131.2.1,2017-11-29 13:47:16.025000,POST,/process.php,HTTP/1.1,302
10.131.2.1,2017-11-29 13:47:16.050000,GET,/home.php,HTTP/1.1,200
10.131.2.1,2017-11-29 13:47:19.025000,GET,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,HTTP/1.1,302
10.130.2.1,2017-11-29 13:47:20.025000,GET,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,HTTP/1.1,200
10.129.2.1,2017-11-29 13:49:25.025000,GET,/details.php?id=44,HTTP/1.1,302
